Country,Year,Ten-Year Rate
Australia,1970,6.65
Australia,1971,6.71
Australia,1972,5.83
Australia,1973,6.93
Australia,1974,9.04
Australia,1975,9.74
Australia,1976,10.03
Australia,1977,10.23
Australia,1978,9.06
Australia,1979,9.75
Australia,1980,11.65
Australia,1981,13.96
Australia,1982,15.38
Australia,1983,13.89
Australia,1984,13.53
Australia,1985,13.95
Australia,1986,13.42
Australia,1987,13.19
Australia,1988,12.1
Australia,1989,13.41
Australia,1990,13.18
Australia,1991,10.69
Australia,1992,9.22
Australia,1993,7.28
Australia,1994,9.04
Australia,1995,9.21
Australia,1996,8.21
Australia,1997,6.95
Australia,1998,5.49
Australia,1999,6.01
Australia,2000,6.31
Australia,2001,5.62
Australia,2002,5.84
Australia,2003,5.37
Australia,2004,5.59
Australia,2005,5.34
Australia,2006,5.59
Australia,2007,5.99
Australia,2008,5.82
Australia,2009,5.04
Australia,2010,5.37
Australia,2011,4.88
Australia,2012,3.38
Australia,2013,3.7
Australia,2014,3.66
Australia,2015,2.71
Australia,2016,2.34
Austria,1990,8.73
Austria,1991,8.55
Austria,1992,8.14
Austria,1993,6.71
Austria,1994,7.03
Austria,1995,7.13
Austria,1996,6.32
Austria,1997,5.68
Austria,1998,4.71
Austria,1999,4.68
Austria,2000,5.56
Austria,2001,5.08
Austria,2002,4.96
Austria,2003,4.14
Austria,2004,4.13
Austria,2005,3.39
Austria,2006,3.8
Austria,2007,4.3
Austria,2008,4.36
Austria,2009,3.94
Austria,2010,3.23
Austria,2011,3.32
Austria,2012,2.37
Austria,2013,2.01
Austria,2014,1.49
Austria,2015,0.75
Austria,2016,0.38
Belgium,1955,4.61
Belgium,1956,4.76
Belgium,1957,6.07
Belgium,1958,5.41
Belgium,1959,5.02
Belgium,1960,5.55
Belgium,1961,5.87
Belgium,1962,5.18
Belgium,1963,5.28
Belgium,1964,6.45
Belgium,1965,6.44
Belgium,1966,6.65
Belgium,1967,6.68
Belgium,1968,6.55
Belgium,1969,7.29
Belgium,1970,7.8
Belgium,1971,7.32
Belgium,1972,7.04
Belgium,1973,7.49
Belgium,1974,8.77
Belgium,1975,8.52
Belgium,1976,9.09
Belgium,1977,8.76
Belgium,1978,8.93
Belgium,1979,9.69
Belgium,1980,11.9
Belgium,1981,13.44
Belgium,1982,13.43
Belgium,1983,11.94
Belgium,1984,12.24
Belgium,1985,10.97
Belgium,1986,8.63
Belgium,1987,8.18
Belgium,1988,8.01
Belgium,1989,8.54
Belgium,1990,10.01
Belgium,1991,9.29
Belgium,1992,8.65
Belgium,1993,7.23
Belgium,1994,7.75
Belgium,1995,7.48
Belgium,1996,6.49
Belgium,1997,5.75
Belgium,1998,4.75
Belgium,1999,4.75
Belgium,2000,5.59
Belgium,2001,5.13
Belgium,2002,4.99
Belgium,2003,4.18
Belgium,2004,4.15
Belgium,2005,3.43
Belgium,2006,3.82
Belgium,2007,4.33
Belgium,2008,4.42
Belgium,2009,3.9
Belgium,2010,3.46
Belgium,2011,4.23
Belgium,2012,3
Belgium,2013,2.41
Belgium,2014,1.71
Belgium,2015,0.84
Belgium,2016,0.48
Canada,1955,3.19
Canada,1956,3.61
Canada,1957,4.13
Canada,1958,4.12
Canada,1959,5.05
Canada,1960,5.19
Canada,1961,5.06
Canada,1962,5.1
Canada,1963,5.09
Canada,1964,5.18
Canada,1965,5.2
Canada,1966,5.69
Canada,1967,5.9
Canada,1968,6.73
Canada,1969,7.56
Canada,1970,7.97
Canada,1971,6.95
Canada,1972,7.23
Canada,1973,7.53
Canada,1974,8.87
Canada,1975,8.99
Canada,1976,9.23
Canada,1977,8.69
Canada,1978,9.24
Canada,1979,10.18
Canada,1980,12.34
Canada,1981,14.99
Canada,1982,14.44
Canada,1983,11.4
Canada,1984,12.71
Canada,1985,10.91
Canada,1986,9.15
Canada,1987,9.47
Canada,1988,9.83
Canada,1989,9.78
Canada,1990,10.71
Canada,1991,9.5
Canada,1992,8.07
Canada,1993,7.27
Canada,1994,8.31
Canada,1995,8.16
Canada,1996,7.23
Canada,1997,6.14
